tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,tripduration_datetime
186,2020-03-01 10:59:43.9090,2020-03-01 11:02:49.9620,3209,Brunswick St,40.7241765,-74.0506564,3211,Newark Ave,40.72152515,-74.046304543,42356,Subscriber,1988,2,1970-01-01 03:06:00
248,2020-03-01 11:04:57.0150,2020-03-01 11:09:05.4320,3211,Newark Ave,40.72152515,-74.046304543,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,42260,Customer,1994,2,1970-01-01 04:08:00
165,2020-03-01 11:05:45.2930,2020-03-01 11:08:30.9190,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3187,Warren St,40.7211236,-74.03805095,42391,Subscriber,1972,1,1970-01-01 02:45:00
535,2020-03-01 11:08:25.8170,2020-03-01 11:17:21.3050,3187,Warren St,40.7211236,-74.03805095,3206,Hilltop,40.7311689,-74.0575736,42601,Subscriber,1968,1,1970-01-01 08:55:00
200,2020-03-01 11:10:03.3250,2020-03-01 11:13:23.9670,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3214,Essex Light Rail,40.7127742,-74.0364857,42385,Subscriber,1984,2,1970-01-01 03:20:00
383,2020-03-01 11:10:11.0190,2020-03-01 11:16:34.6460,3280,Astor Place,40.71928220070702,-74.07126188278198,3195,Sip Ave,40.73089709786179,-74.06391263008118,42264,Subscriber,1978,1,1970-01-01 06:23:00
410,2020-03-01 11:10:11.1550,2020-03-01 11:17:01.1770,3280,Astor Place,40.71928220070702,-74.07126188278198,3195,Sip Ave,40.73089709786179,-74.06391263008118,42157,Subscriber,1988,1,1970-01-01 06:50:00
320,2020-03-01 11:12:47.0590,2020-03-01 11:18:08.0510,3639,Harborside,40.7192517,-74.034234,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42339,Subscriber,1986,1,1970-01-01 05:20:00
502,2020-03-01 11:13:01.9520,2020-03-01 11:21:24.9270,3210,Pershing Field,40.742677141,-74.051788633,3195,Sip Ave,40.73089709786179,-74.06391263008118,42423,Subscriber,1995,2,1970-01-01 08:22:00
762,2020-03-01 11:13:54.8060,2020-03-01 11:26:37.6240,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,42298,Subscriber,1989,1,1970-01-01 12:42:00
